title,review_text,username,date
Pixar has created a masterpiece of cinema,"I'm no critic, but Coco is close to movie perfection. It definitely deserved the Oscar for Best Animated Feature, no doubt, and is by far the best animated movie ever created. The visuals are stunning, the characters are fantastic, the twist is somewhat predictable but still great, and the story is so touching. This is the best film I have ever seen, over Shawshank, over The Godfather, over The Matrix; this film is a godlike creation from the very, very best of cinema. Do not be fooled by the haters who say it is a poor portrayal of a tradition; the tradition is likely far more beautiful in Coco than in real life. Fantastic, I am blown away.",Vuraxis,2018-05-03
A Charming Depiction of a Beautiful Spanish-Language Tradition,"Coco tells the story of young boy named Miguel living in Mexico (Coco is his great grandmother). Miguel loves music and must keep his love a secret from his family who has forbidden music of any kind since the days of his great great grandmother. On Día de Muertos, Miguel wants to enter a contest to showcase his musical talent, but his grandmother intervenes, reiterating the family's ban on music. 

In his hunt for a suitable guitar to play, Miguel finds himself in the land of dead, meeting the spirits of those who have passed on. On his adventure he meets his musical hero, much of his deceased family, and a strange man who asks for his help and quickly becomes a close friend. Along the way, Miguel helps his new friend and his friend helps him understand the true significance of Día de Muertos. 

Of course, the title character (Coco) turns out to play a vital role before the movie is over. When the moment arrives, she delivers something powerful, and it's beautiful. It moved me in a very satisfying way that felt well-earned and authentic, rather than manipulative, the way many movie moments of this sort feel. 

Quick sidebar: when I took Spanish in high school, my teachers would occasionally incorporate culture from Spanish-speaking countries (usually Mexico) into the lessons. In some of these lessons, I learned about Día de Muertos. Sort of. I'm not sure if the lessons were lacking or if I just wasn't paying much attention to them. Regardless, I learned more about Día de Muertos from Coco than I did in four years of high school Spanish classes. 

In high school, my understanding of Día de Muertos was that it was basically a Mexican Halloween. They raised spirits from the dead and played music or something, as I understood it. It seemed silly to me. After watching Coco I realized that the tradition is anything but silly. 

It's not about the dressing up or the food or the music. It's about family and remembering those that came before us. Leave it to Pixar to not only entertain me, but also educate me about a rich and wonderful tradition of another culture. Bravo!",Jared_Andrews,
A Pure Delight!,"Pixar has done it AGAIN! 'Coco' is a yet another delightful ride from the prolific animation studio, who's winning streak seems to never end. And that's good for all, since 'Coco' is all heart & soul, rewarding the moviegoer wholeheartedly.

'Coco' Synopsis: Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.

'Coco' captures the themes of Life & Death, with genuine feeling. Themes of family, passion, defeat & redemption also are explored here, but with humor & real emotion. While I laughed for a good share of this winning story, I also found myself weeping in the film's final-act. This is a true fantasy-adventure, that gives life & death true meaning.

 
Adrian Molina & Matthew Aldrich's Screenplay is excellent. Lee Unkrich's Direction is colorful. And of course, the Animation is extraordinary. 'Coco' unfolds gorgeously & not for a second, does the pace drop.

Vocal-Performances are top-notch! Anthony Gonzalez as Miguel, the protagonist, is a joy, Gael García Bernal s Héctor Rivera, a charming trickster in the Land of the Dead, Benjamin Bratt as Ernesto de la Cruz, the most famous musician in the history of Mexico and Miguel's idol & Ana Ofelia Murguía as Mamá Socorro ""Coco"" Rivera, Miguel's great-grandmother, stand out. And yes, this is a Film made in America about Mexicans & their tradition. Take That, Mr. President!

On the whole, 'Coco' deserves all your time & money. Don't Miss It. Oscars, are you ready?",namashi_1,
Gracias Pixar,"Im Mexican and all i can say is Thanks you Pizax,I just saw this movie and i just remembered all my childhood with my grandparents, Mexico was represented beautifully,the music, the colors. This movie touched me in my soul and i cried a lot, i created an account just to say how good pixar made everything, again gracias pixar por tan hermosa pelicula.",mryohual,
Shocked!,"I knew absolutely nothing about this movie walking in, the only reason I was there was to take my daughter to see it is strictly because my wife said there was a short Frozen film that played along with the movie and my daughter just so happens to be the biggest Frozen fan on the face of the planet.

Not only was I surprised by Coco, it might be the most in depth best story line I've ever seen in an animated movie. It was also educational and shed an entirely new light on the background of the Mexican holiday Dia De Los Muertos.

Wonderful movie, can't say enough good things about it!",jon-stokes21-539-17875,
Coco is the number one Pixar cartoon I've seen so far,"There are no shortcomings in the picture, connotation and plot of animation, each of which touches the hearts of the people. The animation of ""death is not the end, forgotten is"", let us move, don't forget our dead relatives.",h-42927-48851,
I cried twice watching this.,"I have always been a fan of Pixar. They are really good at what they do. These guys set the bar for quality animated movies. Back then, animated movies were pretty much made for kids only. They were just your usual Sunday morning cartoons. Large eyeballs, goofy voice, exaggerated slapsticks. Disney had its classics like Bambi, Fox and The Hound, Cinderella, Sleeping Beauty. However, it felt more like fairy tales. Bedtime stories your parents give as they tuck you in. In this day and age, it wouldn't work that well. Then came Pixar with it's revolutionary debut, Toy Story. Funny, sweet, modern, relatable and plus, completely 3D animated, which marks the first time a feature film was completely 3D animated. And Pixar has been doing just this ever since.

Though the movies they released were still a quality entertainment, I haven't felt like this since Toy Story 3. Toy Story 3 made me bawl like a baby. And their newest feature film, Coco, finally made me weep like a baby again. Coco is a heart-warming experience, filled with outstanding animation, wonderful music, brilliant writing, and creative models which brings out the best of Mexican culture. The movie took on themes like family, aspirations, and music. And they merged it marvelously with the Day of the Dead culture in Mexico. I also feel that this movie sends a strong message towards those that had lost their loved ones at some point. The way this movie talks about possessions and the inevitable loss that comes will, I hope, comfort you.

Coco is a great movie. Definitely the best animated movie this year (The Emoji Movie? Yeah, don't think so). Could possibly be a nominee for Best Picture this year. The way it tugs our heartstrings and the emotionally satisfying end will definitely please everyone. And it's definitely up there among Pixar's finest. If Justice League annoys you, just see this movie. I definitely recommend you. Bring your families, kids to grandparents, whoever you like. I'm sure they'll like it and I'm sure you'll hug 'em all as soon as the credits roll.",pramsalim,
Heartbreakingly beautiful. Surpasses Up and Inside Out,"Coco is about Dias de las Muerte (Day of the Dead), family, family crises and musical passion. The posters have a boy and an adult skeleton capering through the afterlife. So you can know that upfront, Pixar is going to fully deal with the subject of death that it touched upon I UP and hinted at in the death of childhood innocence in Inside Out.

We were subtly forewarned that tissues would be needed. :)

It surpasses the other aforementioned masterpieces by being more relatable, drawing on family restrictions and prohibitions (e.g. ""there will be no X in this family!"" X being ""instead whatever has caused pain to a family member in the past"". Pick your poison my reader). It surpasses them in making death tolerable. It reminds us that we should be mindful and respectful of all those who went before us. Most of all it taps on the shoulder and whispers that the temporal, the world we live in, in just as important as the next one and we should strive to keep family bonds strong. For when we're at the end of our rope, who else is there to pull us up?

Did I mention bring Kleenex? A full box. Even hard core macho men are driven to quiet sobs and immediate phone calls to mothers and fathers telling them ""mama, I miss you.""

Beautiful.",Charliedog2015,
"Arguably The Best Film Of The Year, And Certainly One Of Pixar's Finest.","An impeccable fusion of first-rate storytelling & jaw-dropping animation, Coco is an awe-inspiring, highly riveting & endlessly entertaining delight that's crafted with passion, precision & perseverance, and is practically flawless. Arguably the best film of its year, this exquisite ode to remembrance & heartfelt tribute to Mexican culture isn't just Pixar's most culturally-defined work to date but is impressive enough to rank amongst the revered studio's finest efforts.",cinemasauron,
"A colorful ode to the Mexican culture and to the family values, but that's kinda it","If you agree with the 'family comes first"" motto, but are tired of it being linked solely to the muscular bald guys and fast cars, then Coco will become a pleasant refreshment for you. A lush and lovingly made animation film based on the Dia de los Muertos theme from the Mexican culture, it is a touching experience and a joy to watch.

However, after all the praise Coco received from all around, the actual viewing experience has left me slightly disappointed. Maybe because I did watch The Book of Life, another animation inspired by the Dia de los Muertos lore and featuring the similar ""family wishes vs personal destination"" conflict, a film some consider Coco to be a rip-off of. Or maybe it's because, despite all its pretty visuals, cute characters and singing solid enough, Coco clearly doesn't invest too much into having more than a single layer of meaning.

You see, here we have a painted prettily and with lots of fizzy buoyant quirks, but still a rather simplistic take on the eternal topic of love's duality and generations' conflict. A kid who loves music, but hatred for it is a family trait for several generations, so he embarks on an unexpected journey through the world of the dead to find a way to unite again what has once been separated and to mend what was once broken. And to sing a few songs and to battle some personal fears while he's at it. There are some nice and emotional scenes along the way, and some lessons learned for some characters, but it's still more or less a linear journey from A to B where good is mostly good (although not without a typical feminine touch of a raging maelstrom of emotionality), and bad is, well, at least clearly selfish from the get-go, and then it's plain outright evil.

What is missing in my opinion is the multi-facet delivery, or at least a deeper morals of the story. Sure, ""love your relatives and do what you believe in"" is cool, but ain't it what every single animated film is eventually about? And you could reach the ending inevitable for such genre with some more convoluted and morally difficult effort than just being a boisterous music prodigy with tons of luck to his aid.

It's not a good idea to criticize art for not meeting your expectations. After all, nobody does it just for you, so why what you think must matter at all? Still, if you are not too fond of stories being rather straightforward, then Coco might feel somewhat shallow. And if you're not a kid who loves everything shiny and moving, then the second half of the film might feel kinda random, slapstick'y and, at times, on seriously heavy drugs (the color-changing monkey burping blue flames or multiple Frida Kahlos crawling out of a giant papaya to drink an even more giant cactus' tears being some examples). For you, I might recommend watching The Book of Life instead, which, albeit arguably less glossy and vibrant visually, has a story much more complex and not stamping ""good"" and ""evil"" labels on things, thus showing the duality of people and of the life itself.

For everyone else, go ahead and watch this film. For its loving care for the Mexican traditions, sharing not just the language but also the passion for something outside the typical Western outlook. And clearly for the multiple Frida Kahlos crawling out of a giant papaya - that was hilarious beyond all sane measure!",Semisonic,
