title,review_text,username,date
How on God's green Earth did this work so well???,"The worlds of superhero movies and superhero comics are not as similar as they seem on the surface. Currently, film studios are all about the ""extended universe"", seeing how many different titles and characters they can shove into one franchise (Avengers, X-Men, Justice League), making for an easy way to squeeze a few extra bucks out of their lesser known properties. Comics have this as well, of course. However, they also have something modern movies haven't really tapped into yet: story one-offs, a chance for a storyteller to create a unique tale and not be constrained by the implications on or from the larger universe. Spider-Verse gets to do just that, while playfully taking on the fun (if convoluted) absurdity of extended superhero universes.
Listen, I hear you. ""How could we possibly need another Spider-Man movie?"" Spider-Verse understands that question and has a take on it. Yes, Peter Parker is here. In fact, there are two Peter Parkers. There's also a Spider-Woman, a Noir Spider-Man, an anime Spider-Girl/Robot, and a Spider-Pig. At the center though is Miles Morales, an Afro-Hispanic Brooklyn teen who must help these other Spider-People get back to their own planes of existence. He fights with his cop dad, he adores his shady uncle, hates being simply the smartest kid in the room, and just wants to do something that matters. Being Spider-Man wasn't his idea, but hey, when a radioactive spider gives you powers, what choice do you have?
Look, I don't have any sort of hot take on this movie. It looks great, the humor pops with surprises, the voice casting is beyond perfect. It's simply a stylishly exciting and refreshingly unique take on the superhero genre, and sometimes that's more than enough.",matthewssilverhammer,2018-12-21
Come on give this a chance,"Amazing movie. Great animation, the best Spider-Man movie in my opinion",vincenttciccarello,2018-12-20
Stan Lee Is Smiling Right Now,"A movie worthy of Stan Lee's approval. Incredible animation, great story, great message. This film lives up to the hype and honestly surpassed my expectations. The only reason I think there are some negative reviews is because you can never please everyone. However, for the vast majority of viewers, I believe you'll find this film to be great. Highly recommend seeing it in theaters just for the amazing animation style.",eaglescout910,2018-12-17
the most visually stunning film I've ever seen,"There's hardly anything I would improve about this film. The visuals, concepts, soundtrack, characters, pace, humor and animation are all some of the best I've ever seen in any film; I was worried the hype would ruin it for me, as it always does, but not even the group of kids in the theater who wouldn't stop loudly talking could ruin it for me. It is visually engaging and beautiful in every scene, not to mention with an incredibly unique art style, and is honestly something other animated movies should have to look up to for a long time. The only real issue I can think of is the flashing lights, which really alienates any epileptic audience, but even then it's done so in a beautiful and artful way.",soulsplosion,2018-12-20
"The better the art, the harder it is to find the right words to describe it.","Updated review 4-9-19

I've now watched this movie 10 times since getting it on digital and then Blu-ray and can safely say this is a rare, near perfect movie. This is of course my opinion and I understand why this movie isn't for everyone. Let's break down a few of the reasons why for each of these points.

If we had a list of everything that can be done to make a near perfect movie, this movie checks every box. The visuals have been talked about endlessly. It won an Oscar for them. We know they're great.

The story is great, giving us a new Spider-Man with his own skills and personality that he brings to the table. The script is tight and the production is executed with laser precision.

The voice acting is nothing short of top notch. This is easily the second best thing about this movie right behind the glorious visuals.

Shamiek Moore has quickly grown on me over the ten times I've watched this movie. His range is as good as any veteran actor and he injects so much life into Miles Morales. He IS Miles Morales.

Chris Pine did not phone in the short amount of lines he had whatsoever. Just superb casting because he and Jake Johnson sound pretty similar. And oh boy, Jake Johnson.

I never understood why JJ had gotten so wildly popular over the last several years. With this movie I finally understand. I get it. It clicked. From the moment he pops up in this movie around the 20 minute mark till the end, Jake turns in one of the voice acting performances perhaps of all time. He succeeds in bringing a past his prime Peter Parker to life and runs the gamut of dramatic, sincere, intense, but above all FUNNY. Every single comedic line never fails to make me laugh out loud. Many of the gags pop into my head while I'm working or doing something else and I'll chuckle and repeat the line to myself.

I've always enjoyed Hailee Steinfeld and she shines in this movie along with all the supporting cast.

The greatest thing about this movie also happens to be its weakness. For me, the visuals are second to none. Another review title summed it up perfectly. ""The most visually stunning movie I've ever seen"". Absolutely agree. And while it takes a little time - usually 10-15 minutes - for your eyes to adjust to the frame rate, some people apparently can not adjust to this. I can imagine how poor that viewing experience would be, too bad really. Another thing is since they didn't use actual motion blur, but instead chose to animate blur-like artifacts and tricks to make it seem like blur, or having images doubled and overlapped for a ghosting effect, it confuses some people into thinking they're seeing the 2 images of the 3D version without the glasses. And lastly, the sheer intensity of some of the rapid action sequences combined with visual aesthetic pushed just beyond the breaking point and then dialed ever so slightly back by the direction team, it's just simply too much for some people. I get that.

As far as continuity/plot holes and things of that nature, I think the movie could actually stand to be about 15-20 minutes longer. There really aren't many issues though so maybe this is just me being greedy for more visuals.

Original review: Sure, we can dissect and critique and praise using any number of words we choose, but in the end to actually appreciate truly great art, it simply must be experienced in the medium in which it was created. For this movie, it was lovingly crafted in 3D, and so in my opinion can only be fully realized by the viewer in 3D.

What is a comic book movie, and what makes it great? From the original Superman where we first saw a comic book hero fly, to Burton's dark and stylized Batman, to the graphic novel style Sin City, live action ensemble X-MEN, Spider-Man, Iron-Man, The Dark Knight, the entire MCU....all of these are comic book movies, and depending on your personal definition probably range from good to great. And they're all live action with varying degrees of special effects, and some with animation. If you had to pick ones that 'feel the most like a comic book', you'd probably pick Sin City for the overall look, and the phase 3 MCU films for a combination of visuals and capturing the tone and spirit of the comic book story arcs.

But they aren't literally animated comics. The closest to that would probably be the animated movies, right? Like Mask of the Phantasm or any number of the Marvel animated movies. But again those are really 'just cartoons', and I don't mean that in a bad way. They're simply cartoon versions of comic books.

Spider-Man: Into The Spider-Verse is quite literally an animated comic book, and yet it is so much more at the same time. It's an explosion of comic book ink and paper, a dizzying palette of superbly rich colors, a jaw dropping display of digital artistry melded with living, breathing characters we care about, a story that is perfectly derived from the very medium in which it is being created and yet not for one single moment ever feels forced or hollow, a soundtrack fused with an endless exploration of a massive city, staggeringly sized scientific chambers, gigantic forests, and neon-electric-digital-dreamscapes of action set pieces that whir and click and come to life exactly as they do in the minds of children reading them on paper.

This movie is breathtakingly good in every aspect. Like-I'm-questioning-my-sanity-is-it-really-as-good-as-I-think-it-is!?!? Yes. Yes yes yes.

Remember the old Sega game Comix Zone? And how it was like ""oh wow! It's a comic book come to life!""? This is like that, with modern technology, cranked up a thousand times.

But here's the most important part - *it was all done in the right way, by the right people, at the right time*. It feels like this project was greenlit and handed to the very people who created comic books themselves with a ""here ya go, you have full creative control. Oh and by the way you have an unlimited budget! And resources! Have as much fun making a great movie as you possibly can!""

My first job was working in a movie theater. I took full advantage of being able to see free movies. I've built a decent surround sound system with all the creature comforts and have a growing library of movies. From the re-release of the original Star Wars trilogy, to each of the prequels and to the ongoing trilogy today, T-2, Titanic, the original X-Men, Avatar, The Dark Knight, Avengers, Avengers: Infinity War and so many more...I've gone to many, many big movie theater events for the experience. And I can safely say hands down that Spider-Man: Into the Spider-Verse in 3D is the best moviegoing experience I have ever had. It's that great.",thinslicing,2018-12-21
A Spidey Movie That Works In Multiple Dimensions,Visually stunning. Great storyline. Great cast. Amazing soundtrack. Tear jerking cameo. Pop culture post credit scene of the decade. Thank you Marvel and Sony for making a Spidey movie everyone can love.,Cizzurp215,2018-12-14
Game Changer,"Have you ever sat through a film and you knew that films would never be the same going forward? For example, Terminator 2, Star Wars.. the first Toy Story... Iron Man

Well this is one of those. This is a almost rather perfect film. Let me just say the the stylished animation is just top notch. It as if the comic book leaped off the pages. I've seen practically all super hero films to include the DC animated ones. This feels as if they took comic books and Playstation animation and just came up with this perfect look.

And the story is great.. the pacing is so wonderful. It is able to tell the story.. and an origin without boring us to tears like Zack Snyder has done in the DC universe. The story is quiet touching. And it allows us to have a pretty interesting Spider Man in Miles WITHOUT thrashing or having a Peter Parker like experience.

Plus our the villains are so well done..

But I think we will see a lot more of this type of animation in the future from Sony. I think they announced their presence with authority.. like how Dreamworks did with Shrek.. and how Pixar did.

It's been awhile I seen something so unexpected and so cool.",cafesmitty,2018-12-21
Best Spider-man movie yet,"A coming of age movie for the whole animation genre, which stays true to its medium while nicely embracing the comics medium.

A really moving movie with an ambitious approach, that surprised me at how much spiderman is instilled in my psyche...even as much as Superman is.

The movie simply embraced how the character is a cultural phenomenon, and stopped treating it as merchandise.",ramy-bakir,2018-12-15
Giving Infinity war a run for it's money,"This movie was absolutely incredible. From the animation, to the storytelling, to the characters this movie is completely one of a kind. It is easily the best looking animated movie of the year (no surprise there), but what really caught me off guard was the story they were able to tell in such a short amount of time. Each character has their own distinct personality and is given their own separate characterization without making the movie feel bloated. I knew I would end up liking this movie, but this movie has completely exceeded my expectations. If you enjoy superheros or animation you should 100% definitely watch it in a theater.",vancewinstead,2018-12-15
Nicely animated but totally overhyped,"I really enjoyed the animation, the art and the music. This movie has a real comics feel to it. However, it is far from being the masterpiece everyone is talking about.
The storyline is predictable and kinda childish. Nothing new or exciting around the many unnecessary characters, story doesn't make lots of sense.
Like many Marvel recent films, overhyped.",idanporat,2019-03-11
